Policy_ID,Customer_Age,Gender,Policy_Type,Annual_Income,Claim_History,Fraudulent_Claim,Premium_Amount,Claim_Amount,Risk_Score
POL000001,56,M,Life,111642,0,0,828.63,0.0,Low
POL000002,69,M,Auto,42853,0,0,1767.8,0.0,Medium
POL000003,46,F,Life,135705,1,0,981.47,63156.4,Low
POL000004,32,M,Auto,43703,0,0,1097.23,0.0,Low
POL000005,60,F,Home,71251,1,0,1312.54,4500.43,Medium
POL000006,25,F,Auto,54318,1,0,1300.13,19727.51,Medium
POL000007,78,M,Health,59163,0,0,3188.2,0.0,Medium
POL000008,38,F,Health,83796,0,0,2498.59,0.0,Low
POL000009,56,M,Health,29166,0,0,2868.04,0.0,Low
POL000010,75,F,Home,39522,1,0,1301.65,12032.1,High
POL000011,36,F,Auto,87082,1,0,1461.45,6774.81,Medium
POL000012,40,F,Life,59809,0,0,766.86,0.0,Low
POL000013,28,M,Health,52664,0,0,2183.74,0.0,Low
POL000014,28,F,Health,34184,1,0,3250.21,8358.06,Medium
POL000015,41,M,Health,52849,0,0,2567.39,0.0,Low
POL000016,70,F,Health,84159,0,0,3497.18,0.0,Low
POL000017,53,F,Home,45173,0,0,922.12,0.0,Low
POL000018,57,F,Health,118424,1,0,3100.58,24459.26,Medium
POL000019,41,F,Home,102584,0,0,1098.54,0.0,Low
POL000020,20,M,Life,50260,0,0,1175.1,0.0,High
POL000021,39,M,Health,44481,1,0,2937.06,4128.2,High
POL000022,70,F,Auto,20000,0,0,1780.84,0.0,High
POL000023,19,F,Auto,34946,0,0,1987.23,0.0,High
POL000024,41,M,Auto,33888,1,0,1357.17,3941.59,High
POL000025,61,M,Auto,29275,0,0,1259.25,0.0,Low
POL000026,47,M,Home,58806,1,0,1248.06,4788.55,Low
POL000027,55,M,Life,69985,0,0,685.84,0.0,Low
POL000028,19,F,Auto,148349,0,0,1847.72,0.0,Medium
POL000029,77,F,Home,61898,0,0,1488.97,0.0,Medium
POL000030,38,M,Life,21660,1,0,1043.42,10000.38,High
POL000031,50,M,Health,41197,1,0,3161.73,21955.07,Medium
POL000032,29,M,Home,81249,0,0,881.86,0.0,Low
POL000033,75,M,Health,57485,0,0,3731.69,0.0,Medium
POL000034,39,M,Home,91896,0,0,1032.86,0.0,Low
POL000035,78,M,Auto,46310,2,0,1859.42,6348.6,High
POL000036,61,F,Auto,106512,3,0,1830.97,8782.16,High
POL000037,42,F,Auto,67711,0,0,1328.35,0.0,Low
POL000038,66,F,Auto,68578,0,0,1378.57,0.0,Medium
POL000039,44,M,Life,64535,0,0,899.95,0.0,Low
POL000040,76,M,Health,40840,3,1,5306.56,12119.58,High
POL000041,80,M,Home,58186,0,0,1110.25,0.0,Medium
POL000042,59,F,Home,69347,0,0,1120.1,0.0,Low
POL000043,45,M,Auto,29722,0,0,1360.85,0.0,Low
POL000044,77,M,Health,62305,0,0,2799.25,0.0,Medium
POL000045,33,F,Health,109912,0,0,2345.62,0.0,Low
POL000046,32,M,Auto,74377,0,0,1154.32,0.0,Medium
POL000047,79,F,Auto,118615,0,0,1489.28,0.0,Medium
POL000048,79,F,Home,73413,0,0,1401.01,0.0,Medium
POL000049,64,M,Home,38222,0,0,957.43,0.0,Low
POL000050,79,F,Home,88909,0,0,1478.07,0.0,Medium
POL000051,68,M,Home,33842,2,0,1940.96,15942.64,High
POL000052,61,F,Home,53948,1,0,1086.8,2210.54,Low
POL000053,72,M,Auto,52156,1,0,1798.74,9192.98,High
POL000054,69,F,Auto,42653,0,0,1587.01,0.0,Medium
POL000055,74,M,Home,196709,1,0,1530.61,30244.42,High
POL000056,20,F,Life,57738,0,0,1154.72,0.0,High
POL000057,54,F,Travel,148009,0,0,359.92,0.0,Low
POL000058,68,F,Life,71096,0,0,901.02,0.0,Medium
POL000059,24,M,Health,39717,0,0,3307.14,0.0,Medium
POL000060,38,M,Home,48786,0,0,1120.39,0.0,Medium
POL000061,26,F,Health,58733,0,0,2335.28,0.0,Medium
POL000062,56,M,Life,50468,0,0,698.44,0.0,Low
POL000063,35,F,Auto,52209,0,0,1244.47,0.0,Low
POL000064,21,M,Home,79767,1,0,1505.22,5468.45,High
POL000065,42,F,Health,71875,0,0,2177.54,0.0,Low
POL000066,77,M,Health,84541,2,0,4379.09,11686.3,High
POL000067,31,F,Auto,128456,0,0,1232.9,0.0,Low
POL000068,67,F,Home,47299,0,0,1121.18,0.0,Low
POL000069,75,F,Health,104500,3,0,4656.63,36074.97,High
POL000070,26,F,Home,120186,0,0,980.73,0.0,Low
POL000071,43,M,Health,114342,1,0,2915.27,3417.19,Low
POL000072,70,F,Auto,24835,0,0,1671.31,0.0,High
POL000073,19,M,Life,147096,0,0,1121.81,0.0,Medium
POL000074,37,M,Home,43555,0,0,979.83,0.0,Low
POL000075,45,F,Home,23852,2,0,1414.17,11381.61,High
POL000076,64,M,Auto,145299,0,0,1352.12,0.0,Low
POL000077,77,M,Auto,77396,0,0,1743.14,0.0,Medium
POL000078,24,M,Home,79011,1,0,1713.42,25817.09,High
POL000079,61,F,Home,50714,0,0,1006.26,0.0,Low
POL000080,78,M,Home,65581,2,0,1704.76,5147.75,High
POL000081,25,M,Auto,55845,0,0,1332.74,0.0,Low
POL000082,64,F,Health,43822,1,0,3168.2,8211.33,Medium
POL000083,52,F,Health,60566,0,0,2358.65,0.0,Low
POL000084,31,M,Auto,63358,0,0,1078.63,0.0,Medium
POL000085,34,F,Home,30920,1,0,1108.25,20274.57,High
POL000086,53,M,Health,61562,0,0,2341.3,0.0,Low
POL000087,67,M,Home,24495,0,0,1475.8,0.0,High
POL000088,57,M,Auto,156400,3,0,1617.81,2329.33,Medium
POL000089,21,F,Health,56880,0,0,3391.36,0.0,Medium
POL000090,19,M,Auto,35040,1,0,2318.08,9141.25,High
POL000091,79,F,Auto,77389,1,0,1571.44,6503.18,High
POL000092,23,F,Auto,41218,1,0,1921.13,11069.29,High
POL000093,71,M,Home,59004,2,0,1659.13,7316.95,High
POL000094,59,F,Auto,75188,0,0,1234.24,0.0,Low
POL000095,21,F,Life,36013,1,0,1308.66,73253.59,High
POL000096,71,F,Auto,158713,0,0,1558.24,0.0,Low
POL000097,46,F,Auto,166451,1,0,1255.32,3818.92,Low
POL000098,80,F,Home,46040,0,0,1328.97,0.0,Medium
POL000099,35,M,Auto,34143,2,0,1516.86,1782.39,High
POL000100,43,F,Home,45935,2,0,1436.21,2720.47,High
POL000101,61,M,Auto,47179,0,0,1169.66,0.0,Low
POL000102,51,M,Auto,104315,0,0,1179.77,0.0,Low
POL000103,27,M,Auto,46334,1,0,1418.16,2328.58,Medium
POL000104,79,M,Home,33495,0,0,1153.04,0.0,High
POL000105,53,M,Auto,62993,0,0,1076.45,0.0,Low
POL000106,31,M,Health,28412,0,0,2717.68,0.0,Medium
